pos_error_mean,pos_error_std,pos_error_min,pos_error_max,mean_field_activity,perc_correct_fields,ignored_field_connections_ratio,avg_num_fields_per_neuron,avg_num_fields_active_per_neuron,avg_accum_field_coverage_per_neuron,num_fields_total,num_fields_active,activity_false_positives_num,activity_false_negatives_num,perc_unique_field_combinations,weighted_avg_activity,activity_false_negatives_num_max,activity_false_negatives_num_mean,activity_false_negatives_num_median,activity_false_negatives_num_min,activity_false_negatives_num_q1,activity_false_negatives_num_q3,activity_false_negatives_num_std,activity_false_negatives_num_whishi,activity_false_negatives_num_whislo,activity_false_positives_num_max,activity_false_positives_num_mean,activity_false_positives_num_median,activity_false_positives_num_min,activity_false_positives_num_q1,activity_false_positives_num_q3,activity_false_positives_num_std,activity_false_positives_num_whishi,activity_false_positives_num_whislo,avg_accum_field_coverage_per_neuron_mean,avg_accum_field_coverage_per_neuron_std,avg_num_fields_active_per_neuron_mean,avg_num_fields_active_per_neuron_std,avg_num_fields_per_neuron_mean,avg_num_fields_per_neuron_std,field_ratio_threshold,ignored_field_connections_ratio_mean,ignored_field_connections_ratio_median,ignored_field_connections_ratio_q1,ignored_field_connections_ratio_q3,ignored_field_connections_ratio_std,ignored_field_connections_ratio_whishi,ignored_field_connections_ratio_whislo,mean_field_activity_max,mean_field_activity_mean,mean_field_activity_median,mean_field_activity_min,mean_field_activity_q1,mean_field_activity_q3,mean_field_activity_std,mean_field_activity_whishi,mean_field_activity_whislo,num_fields_active_mean,num_fields_active_std,num_fields_total_mean,num_fields_total_std,perc_correct_fields_max,perc_correct_fields_mean,perc_correct_fields_median,perc_correct_fields_min,perc_correct_fields_q1,perc_correct_fields_q3,perc_correct_fields_std,perc_correct_fields_whishi,perc_correct_fields_whislo,perc_unique_field_combinations_max,perc_unique_field_combinations_mean,perc_unique_field_combinations_median,perc_unique_field_combinations_min,perc_unique_field_combinations_q1,perc_unique_field_combinations_q3,perc_unique_field_combinations_std,perc_unique_field_combinations_whishi,perc_unique_field_combinations_whislo,pos_error_max_mean,pos_error_mean_max,pos_error_mean_mean,pos_error_mean_median,pos_error_mean_min,pos_error_mean_q1,pos_error_mean_q3,pos_error_mean_std,pos_error_mean_whishi,pos_error_mean_whislo,pos_error_min_mean,pos_error_std_max,pos_error_std_mean,pos_error_std_median,pos_error_std_min,pos_error_std_q1,pos_error_std_q3,pos_error_std_std,pos_error_std_whishi,pos_error_std_whislo,weighted_avg_activity_mean,weighted_avg_activity_median,weighted_avg_activity_q1,weighted_avg_activity_q3,weighted_avg_activity_std,weighted_avg_activity_whishi,weighted_avg_activity_whislo
26.916,27.438,0.0,116.876,0.004,0.089,0.0,7.05,7.05,29.835,352.5,352.5,19.0,2611.15,0.818,8.175,2703,2611.15,2621.5,2465,2563.5,2648.25,58.533,2703,2465,46,19.0,16.5,9,13.0,20.25,8.701,25,9,29.835,0.019,7.05,0.189,7.05,0.189,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004,0.004,0.004,0.003,0.004,0.004,0.0,0.004,0.003,352.5,9.474,352.5,9.474,0.114,0.089,0.089,0.075,0.082,0.094,0.009,0.102,0.075,0.852,0.818,0.817,0.785,0.804,0.831,0.019,0.852,0.785,116.876,31.781,26.916,27.167,20.925,24.514,29.031,3.104,31.781,20.925,0.0,30.309,27.438,27.502,24.438,26.204,28.563,1.495,30.309,24.438,8.175,8.095,7.997,8.268,0.276,8.398,7.843
26.411,27.355,0.0,118.179,0.004,0.088,0.03,7.05,7.05,29.83,352.5,352.5,22.35,2567.7,0.823,8.389,2687,2567.7,2591.5,2394,2482.25,2644.25,88.082,2687,2394,51,22.35,20.5,7,14.75,25.25,11.257,27,7,29.83,0.018,7.05,0.197,7.05,0.197,0.05,0.03,0.03,0.025,0.034,0.007,0.043,0.015,0.004,0.004,0.004,0.003,0.004,0.004,0.0,0.004,0.003,352.5,9.856,352.5,9.856,0.104,0.088,0.087,0.062,0.085,0.093,0.009,0.104,0.078,0.845,0.823,0.828,0.795,0.812,0.83,0.013,0.845,0.795,118.179,33.379,26.411,26.714,15.765,23.302,29.904,4.934,33.379,15.765,0.0,30.622,27.355,27.445,21.37,26.238,29.5,2.312,30.622,21.37,8.389,8.238,8.067,8.665,0.393,9.265,7.874
23.783,26.675,0.0,121.513,0.004,0.087,0.088,7.11,7.11,29.839,355.5,355.5,24.9,2534.6,0.826,8.534,2723,2534.6,2567.0,2283,2470.0,2603.5,104.09,2723,2283,40,24.9,22.0,15,19.75,28.25,6.884,40,15,29.839,0.019,7.11,0.228,7.11,0.228,0.1,0.088,0.088,0.081,0.093,0.011,0.106,0.069,0.005,0.004,0.004,0.003,0.004,0.004,0.0,0.004,0.004,355.5,11.404,355.5,11.404,0.107,0.087,0.089,0.062,0.077,0.096,0.012,0.107,0.062,0.865,0.826,0.826,0.788,0.818,0.838,0.018,0.865,0.798,121.513,29.252,23.783,24.269,16.821,22.391,26.524,3.125,29.252,16.821,0.0,29.367,26.675,26.495,22.701,26.155,27.519,1.421,29.367,24.705,8.534,8.407,8.266,8.81,0.442,9.593,7.812
21.449,26.989,0.0,123.032,0.004,0.089,0.15,6.985,6.985,29.835,349.25,349.25,25.1,2391.15,0.822,9.187,2651,2391.15,2376.5,2174,2328.75,2445.5,103.23,2521,2174,52,25.1,24.5,12,17.0,29.25,10.119,39,12,29.835,0.017,6.985,0.218,6.985,0.218,0.15,0.15,0.149,0.134,0.162,0.018,0.183,0.128,0.005,0.004,0.004,0.004,0.004,0.005,0.0,0.005,0.004,349.25,10.894,349.25,10.894,0.107,0.089,0.089,0.076,0.081,0.098,0.01,0.107,0.076,0.855,0.822,0.816,0.798,0.81,0.833,0.016,0.855,0.798,123.032,28.547,21.449,21.001,14.832,19.542,24.868,3.911,28.547,14.832,0.0,30.747,26.989,27.13,22.907,25.502,28.116,2.181,30.747,22.907,9.187,9.091,8.819,9.507,0.509,10.391,8.083
17.785,24.499,0.0,114.823,0.005,0.088,0.208,7.034,7.034,29.836,351.7,351.7,26.05,2326.6,0.826,9.498,2557,2326.6,2318.5,2176,2242.75,2404.25,101.54,2557,2176,68,26.05,24.5,9,16.75,34.0,13.407,39,9,29.836,0.014,7.034,0.256,7.034,0.256,0.2,0.208,0.206,0.194,0.223,0.018,0.254,0.178,0.005,0.005,0.005,0.004,0.004,0.005,0.0,0.005,0.004,351.7,12.818,351.7,12.818,0.103,0.088,0.088,0.061,0.083,0.095,0.01,0.103,0.071,0.862,0.826,0.825,0.775,0.815,0.837,0.02,0.862,0.8,114.823,27.739,17.785,17.438,11.921,15.149,19.479,3.913,24.524,11.921,0.0,28.511,24.499,24.135,20.836,23.049,25.627,1.993,28.511,20.836,9.498,9.52,9.163,9.893,0.467,10.354,8.618
16.277,24.414,0.0,114.077,0.005,0.087,0.267,7.014,7.014,29.841,350.7,350.7,28.6,2282.25,0.819,9.688,2408,2282.25,2298.5,2094,2233.5,2338.0,78.311,2408,2094,75,28.6,26.0,12,17.0,34.25,15.253,50,12,29.841,0.013,7.014,0.183,7.014,0.183,0.25,0.267,0.264,0.252,0.283,0.018,0.294,0.235,0.005,0.005,0.005,0.004,0.004,0.005,0.0,0.005,0.004,350.7,9.166,350.7,9.166,0.107,0.087,0.089,0.066,0.081,0.092,0.011,0.107,0.066,0.848,0.819,0.819,0.775,0.809,0.831,0.017,0.848,0.798,114.077,21.11,16.277,16.612,12.224,14.589,18.125,2.489,21.11,12.224,0.0,27.37,24.414,23.851,19.859,22.986,26.524,2.206,27.37,19.859,9.688,9.614,9.362,9.907,0.463,10.638,8.968
13.286,21.739,0.0,116.021,0.005,0.086,0.333,7.074,7.074,29.84,353.7,353.7,29.1,2175.3,0.827,10.216,2361,2175.3,2187.5,1895,2125.0,2255.0,107.945,2361,2018,67,29.1,27.0,11,19.0,35.5,14.244,55,11,29.84,0.015,7.074,0.19,7.074,0.19,0.3,0.333,0.335,0.324,0.345,0.017,0.363,0.299,0.006,0.005,0.005,0.004,0.005,0.005,0.0,0.006,0.004,353.7,9.508,353.7,9.508,0.107,0.086,0.086,0.072,0.082,0.089,0.009,0.095,0.072,0.862,0.827,0.828,0.8,0.818,0.838,0.015,0.862,0.8,116.021,19.384,13.286,12.911,7.009,10.706,15.659,3.23,19.384,7.009,0.0,27.517,21.739,21.604,16.581,19.629,23.901,2.939,27.517,16.581,10.216,10.068,9.792,10.517,0.592,11.24,9.254
10.832,20.268,0.0,110.562,0.005,0.091,0.383,7.033,7.033,29.834,351.65,351.65,53.0,2040.6,0.819,10.913,2344,2040.6,2006.5,1852,1981.5,2105.75,106.999,2213,1852,103,53.0,46.5,11,38.25,70.25,23.747,103,11,29.834,0.015,7.033,0.199,7.033,0.199,0.35,0.383,0.384,0.369,0.393,0.021,0.428,0.342,0.006,0.005,0.006,0.005,0.005,0.006,0.0,0.006,0.005,351.65,9.926,351.65,9.926,0.115,0.091,0.086,0.074,0.08,0.104,0.013,0.115,0.074,0.86,0.819,0.819,0.79,0.807,0.831,0.018,0.86,0.79,110.562,20.2,10.832,10.578,6.041,9.443,11.682,2.982,14.941,6.75,0.0,27.22,20.268,19.755,12.517,18.14,22.844,3.319,27.22,12.517,10.913,10.954,10.631,11.252,0.622,11.934,9.964
7.762,17.453,0.0,111.926,0.006,0.097,0.448,7.056,7.056,29.834,352.8,352.8,55.85,1895.6,0.823,11.68,2113,1895.6,1892.5,1760,1838.5,1933.0,88.269,2009,1760,91,55.85,55.0,32,41.25,69.0,17.724,91,32,29.834,0.02,7.056,0.206,7.056,0.206,0.4,0.448,0.45,0.438,0.457,0.017,0.473,0.413,0.006,0.006,0.006,0.005,0.006,0.006,0.0,0.006,0.005,352.8,10.284,352.8,10.284,0.119,0.097,0.096,0.067,0.088,0.107,0.013,0.119,0.067,0.858,0.823,0.824,0.785,0.816,0.833,0.016,0.858,0.8,111.926,11.213,7.762,7.74,4.49,6.216,9.149,1.868,11.213,4.49,0.0,21.7,17.453,17.362,11.061,15.026,19.979,3.072,21.7,11.061,11.68,11.679,11.331,12.075,0.472,12.589,10.814
6.803,16.769,0.0,114.732,0.006,0.1,0.499,7.071,7.071,29.829,353.55,353.55,69.1,1784.5,0.825,12.307,1923,1784.5,1796.0,1616,1724.0,1838.25,81.559,1923,1616,165,69.1,63.0,36,52.0,79.25,27.64,94,36,29.829,0.023,7.071,0.2,7.071,0.2,0.45,0.499,0.501,0.489,0.508,0.015,0.523,0.469,0.007,0.006,0.006,0.005,0.006,0.007,0.0,0.007,0.005,353.55,9.982,353.55,9.982,0.132,0.1,0.102,0.073,0.091,0.109,0.015,0.132,0.073,0.865,0.825,0.822,0.798,0.815,0.829,0.016,0.842,0.798,114.732,10.695,6.803,6.61,4.912,5.552,7.54,1.597,8.053,4.912,0.0,22.818,16.769,17.123,12.713,14.722,17.812,2.87,20.558,12.713,12.307,12.257,11.963,12.691,0.471,13.146,11.576
5.378,15.32,0.0,115.578,0.007,0.115,0.555,7.043,7.043,29.839,352.15,352.15,93.05,1612.7,0.821,13.513,1797,1612.7,1643.0,1307,1559.0,1718.25,145.807,1797,1322,164,93.05,81.5,32,64.75,117.5,40.531,164,32,29.839,0.019,7.043,0.246,7.043,0.246,0.5,0.555,0.558,0.549,0.564,0.013,0.578,0.536,0.008,0.007,0.007,0.006,0.007,0.007,0.001,0.008,0.006,352.15,12.289,352.15,12.289,0.14,0.115,0.115,0.073,0.109,0.132,0.02,0.14,0.08,0.86,0.821,0.822,0.785,0.807,0.827,0.019,0.852,0.785,115.578,8.498,5.378,5.306,1.437,4.516,6.96,1.764,8.498,1.437,0.0,20.391,15.32,15.522,5.702,13.371,17.958,3.642,20.391,10.354,13.513,13.519,12.653,14.079,0.929,15.264,11.96
3.224,11.292,0.0,100.301,0.007,0.129,0.609,7.076,7.076,29.837,353.8,353.8,116.0,1476.15,0.823,14.463,1699,1476.15,1487.5,1304,1420.0,1526.25,98.853,1648,1304,224,116.0,108.0,67,91.5,124.25,38.059,171,67,29.837,0.016,7.076,0.183,7.076,0.183,0.55,0.609,0.604,0.599,0.615,0.014,0.638,0.59,0.008,0.007,0.007,0.006,0.007,0.008,0.001,0.008,0.006,353.8,9.13,353.8,9.13,0.15,0.129,0.125,0.113,0.12,0.136,0.012,0.15,0.113,0.855,0.823,0.824,0.785,0.814,0.831,0.017,0.855,0.79,100.301,6.325,3.224,2.848,1.623,2.269,3.831,1.317,6.062,1.623,0.0,19.01,11.292,10.348,6.514,8.737,14.709,3.659,19.01,6.514,14.463,14.643,13.853,15.012,0.82,15.883,12.795
2.233,9.471,0.0,100.604,0.008,0.145,0.661,7.011,7.011,29.839,350.55,350.55,145.45,1270.55,0.828,15.967,1582,1270.55,1242.0,1087,1187.75,1361.0,123.698,1582,1087,284,145.45,128.0,86,112.75,168.75,49.584,223,86,29.839,0.015,7.011,0.237,7.011,0.237,0.6,0.661,0.659,0.65,0.67,0.015,0.696,0.634,0.009,0.008,0.008,0.007,0.008,0.009,0.001,0.009,0.007,350.55,11.859,350.55,11.859,0.21,0.145,0.14,0.102,0.132,0.157,0.025,0.179,0.102,0.862,0.828,0.822,0.8,0.817,0.841,0.018,0.862,0.8,100.604,3.898,2.233,2.033,0.861,1.644,2.768,0.883,3.898,0.861,0.0,18.256,9.471,8.808,3.542,6.902,10.832,4.128,13.438,3.542,15.967,16.096,15.314,16.666,1.0,17.996,13.898
1.855,7.481,0.0,77.213,0.009,0.179,0.704,7.004,7.004,29.831,350.2,350.2,215.45,1108.55,0.819,17.731,1412,1108.55,1063.0,859,1013.5,1197.75,143.666,1412,859,329,215.45,221.0,74,181.75,250.75,63.83,329,117,29.831,0.015,7.004,0.283,7.004,0.283,0.65,0.704,0.702,0.698,0.714,0.014,0.731,0.68,0.01,0.009,0.009,0.008,0.009,0.01,0.001,0.01,0.008,350.2,14.144,350.2,14.144,0.223,0.179,0.181,0.131,0.153,0.203,0.03,0.223,0.131,0.858,0.819,0.819,0.772,0.802,0.833,0.022,0.858,0.772,77.213,4.059,1.855,1.725,0.604,1.389,2.138,0.795,3.15,0.604,0.0,15.961,7.481,7.487,1.002,5.152,9.118,3.324,11.832,1.002,17.731,17.806,16.669,18.731,1.341,19.828,15.488
1.247,5.448,0.0,68.427,0.01,0.228,0.758,6.999,6.999,29.835,349.95,349.95,281.55,905.65,0.822,19.757,1119,905.65,895.5,697,816.0,966.75,101.851,1119,697,539,281.55,276.5,159,203.0,323.75,98.79,470,159,29.835,0.024,6.999,0.208,6.999,0.208,0.7,0.758,0.755,0.749,0.765,0.011,0.779,0.736,0.012,0.01,0.01,0.009,0.01,0.011,0.001,0.012,0.009,349.95,10.419,349.95,10.419,0.298,0.228,0.221,0.179,0.195,0.249,0.037,0.298,0.179,0.845,0.822,0.822,0.778,0.817,0.831,0.015,0.845,0.805,68.427,2.744,1.247,1.174,0.554,0.865,1.445,0.527,1.993,0.554,0.0,12.462,5.448,5.025,0.56,2.792,7.274,3.222,12.462,0.56,19.757,20.031,18.553,20.579,1.366,23.122,17.899
1.112,4.891,0.0,67.247,0.011,0.264,0.802,7.118,7.118,29.842,355.9,355.9,364.3,744.3,0.828,21.687,1006,744.3,735.5,555,665.75,801.5,116.598,987,555,516,364.3,361.5,207,293.25,441.25,88.474,516,207,29.842,0.022,7.118,0.181,7.118,0.181,0.75,0.802,0.801,0.799,0.805,0.008,0.814,0.792,0.013,0.011,0.011,0.01,0.011,0.012,0.001,0.013,0.01,355.9,9.071,355.9,9.071,0.331,0.264,0.266,0.199,0.248,0.283,0.035,0.331,0.199,0.86,0.828,0.831,0.8,0.817,0.839,0.016,0.86,0.8,67.247,2.411,1.112,0.964,0.613,0.837,1.215,0.45,1.552,0.613,0.0,13.254,4.891,3.831,1.266,2.808,6.6,3.047,9.296,1.266,21.687,22.115,20.503,22.454,1.38,24.324,18.822
1.129,5.172,0.0,67.596,0.013,0.358,0.846,7.027,7.027,29.838,351.35,351.35,528.55,497.3,0.821,24.95,606,497.3,488.5,364,455.75,538.25,65.72,606,364,701,528.55,543.5,387,449.0,607.25,94.532,701,387,29.838,0.018,7.027,0.239,7.027,0.239,0.8,0.846,0.844,0.842,0.849,0.005,0.855,0.837,0.014,0.013,0.013,0.012,0.013,0.013,0.001,0.014,0.012,351.35,11.964,351.35,11.964,0.451,0.358,0.357,0.287,0.333,0.381,0.039,0.451,0.287,0.85,0.821,0.82,0.8,0.814,0.831,0.013,0.85,0.8,67.596,2.81,1.129,0.933,0.497,0.825,1.313,0.517,1.795,0.497,0.0,16.413,5.172,3.818,0.454,2.594,7.23,3.943,11.866,0.454,24.95,24.983,24.33,25.615,0.913,26.347,23.334
0.975,4.226,0.0,56.34,0.015,0.512,0.887,7.027,7.027,29.828,351.35,351.35,799.0,259.65,0.825,29.381,418,259.65,240.0,152,218.5,297.5,75.834,407,152,986,799.0,795.5,630,715.0,871.0,107.531,986,630,29.828,0.014,7.027,0.248,7.027,0.248,0.85,0.887,0.887,0.884,0.89,0.005,0.896,0.879,0.017,0.015,0.015,0.013,0.015,0.016,0.001,0.017,0.013,351.35,12.415,351.35,12.415,0.593,0.512,0.529,0.371,0.483,0.556,0.058,0.593,0.409,0.86,0.825,0.834,0.785,0.809,0.842,0.022,0.86,0.785,56.34,2.078,0.975,0.798,0.574,0.625,1.164,0.454,1.626,0.574,0.0,15.978,4.226,2.231,0.592,0.775,6.0,4.458,12.764,0.592,29.381,29.427,28.12,30.533,1.444,31.685,26.901
1.094,4.83,0.0,61.418,0.018,0.728,0.928,6.965,6.965,29.837,348.25,348.25,1359.0,83.25,0.81,35.786,152,83.25,80.5,46,62.75,98.5,26.435,152,46,1627,1359.0,1342.0,1067,1281.0,1423.75,127.435,1627,1067,29.837,0.017,6.965,0.247,6.965,0.247,0.9,0.928,0.929,0.927,0.931,0.003,0.935,0.922,0.019,0.018,0.018,0.017,0.018,0.018,0.001,0.019,0.017,348.25,12.365,348.25,12.365,0.798,0.728,0.734,0.664,0.696,0.752,0.041,0.798,0.664,0.858,0.81,0.806,0.77,0.797,0.822,0.022,0.858,0.77,61.418,2.006,1.094,1.018,0.564,0.716,1.314,0.448,2.006,0.564,0.0,12.326,4.83,3.78,0.635,0.875,7.169,4.194,12.326,0.635,35.786,35.977,35.006,36.488,1.156,38.004,33.086
1.234,4.619,0.0,60.829,0.022,0.926,0.965,7.024,7.024,29.836,351.2,351.2,2536.1,8.75,0.821,45.793,17,8.75,8.0,4,6.75,11.0,3.223,17,4,2722,2536.1,2569.0,2175,2479.75,2622.0,148.855,2722,2278,29.836,0.017,7.024,0.212,7.024,0.212,0.95,0.965,0.965,0.964,0.966,0.002,0.968,0.962,0.023,0.022,0.022,0.021,0.022,0.022,0.0,0.023,0.021,351.2,10.624,351.2,10.624,0.956,0.926,0.93,0.888,0.914,0.939,0.017,0.956,0.888,0.848,0.821,0.826,0.785,0.809,0.832,0.016,0.848,0.785,60.829,3.188,1.234,0.953,0.695,0.802,1.399,0.671,1.86,0.695,0.0,15.304,4.619,2.741,0.73,0.836,7.118,4.656,15.304,0.73,45.793,46.172,44.915,46.73,1.174,47.588,42.96
